Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
    0     0.0     0.0     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  246.50   1.700   1.000   1.000
    3    12.1    14.4     1.1    0.00    0.00    0.00    0.00    1.86    2.25    2.23    0.02  260.97   1.800   1.000   1.000
    6    12.4    21.1     5.0    0.00    0.00    0.00    0.00    2.25    2.64    2.62    0.02  264.09   1.821   1.000   1.000
    9     6.1    20.0     8.3    0.00    0.00    0.00    0.00    0.94    1.32    1.31    0.01  253.64   1.749   1.000   1.000
   12    14.1    15.0    -2.2    0.00    0.00    0.00    0.00    0.57    2.56    2.53    0.02  249.09   1.718   1.000   1.000
   15     8.1    26.1    11.1    0.00    0.00    0.00    0.00    0.00    1.94    1.89    0.02  241.54   1.666   1.000   1.000
   18     9.7    27.8    11.1    0.00    0.00    0.00    0.00    0.18    2.37    2.35    0.02  245.77   1.695   1.000   1.000
   21     1.8    17.8     8.9   15.50    0.00    0.00   15.50    0.14    0.38    0.38    0.00  262.92   1.813   1.000   1.000
   24    13.6    16.1    -2.8    0.00    0.00    0.00    0.00    3.93    2.49    2.47    0.02  279.40   1.927   1.000   1.000
   27    15.9     8.9    -1.1    0.00    0.00    0.00    0.00    2.49    2.63    2.61    0.02  266.32   1.837   1.000   1.000
   30    10.9    22.8    10.0    0.00    0.00    0.00    0.00    1.17    2.48    2.46    0.02  254.55   1.756   1.000   1.000
   33     7.1    23.3     7.2    3.60    0.00    0.00    3.60    0.00    1.59    1.58    0.01  248.53   1.714   1.000   1.000
   36     1.2    16.1    12.2   43.70    0.00    0.02   43.68    0.00    0.26    0.25    0.00  286.82   1.978   1.000   1.000
   39    16.9    21.7     5.6    0.00    0.00    0.00    0.00    3.42    3.65    3.62    0.03  273.60   1.887   1.000   1.000
   42    15.0    20.0    -0.6    0.00    0.00    0.00    0.00    1.55    2.99    2.96    0.03  257.45   1.776   1.000   1.000
